[2025-11-18T02:35:05.025Z] ⚠️ Unauthorized admin attempt | IP=::1 | UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 | URL=/api/admin/profiles
[2025-11-18T02:36:05.020Z] ⚠️ Unauthorized admin attempt | IP=::1 | UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 | URL=/api/admin/profiles
[2025-11-18T02:36:05.022Z] 🚷 IP banned for 10 min | IP=::1 | UA=n/a | URL=
[2025-11-18T02:38:33.448Z] ⚠️ Unauthorized admin attempt | IP=::1 | UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 | URL=/api/admin/profiles
[2025-11-18T02:39:23.044Z] ⚠️ Unauthorized admin attempt | IP=::1 | UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 | URL=/api/admin/profiles
[2025-11-18T02:41:38.310Z] ⚠️ Unauthorized admin attempt | IP=::1 | UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 | URL=/api/admin/profiles
[2025-11-18T02:42:03.966Z] ⚠️ Unauthorized admin attempt | IP=::1 | UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 | URL=/api/admin/profiles
[2025-11-18T02:51:00.080Z] ⚠️ Unauthorized admin attempt | IP=::1 | UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 | URL=/api/admin/profiles
[2025-11-18T02:52:00.052Z] ⚠️ Unauthorized admin attempt | IP=::1 | UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 | URL=/api/admin/profiles
[2025-11-18T02:52:53.256Z] ⚠️ Unauthorized admin attempt | IP=::1 | UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 | URL=/api/admin/profiles
[2025-11-18T02:52:53.259Z] 🚷 IP banned for 10 min | IP=::1 | UA=n/a | URL=
[2025-11-18T02:53:21.030Z] 🚫 Banned IP tried again: ::1 | IP=::1 | UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 | URL=/api/admin/profiles
[2025-11-18T02:55:00.015Z] 🚫 Banned IP tried again: ::1 | IP=::1 | UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 | URL=/api/admin/profiles
[2025-11-18T02:56:00.066Z] 🚫 Banned IP tried again: ::1 | IP=::1 | UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 | URL=/api/admin/profiles
[2025-11-18T02:57:00.150Z] ⚠️ Unauthorized admin attempt | IP=::1 | UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 | URL=/api/admin/profiles
[2025-11-18T02:58:00.060Z] ⚠️ Unauthorized admin attempt | IP=::1 | UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 | URL=/api/admin/profiles
[2025-11-18T02:59:00.045Z] ⚠️ Unauthorized admin attempt | IP=::1 | UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 | URL=/api/admin/profiles
[2025-11-18T02:59:00.047Z] 🚷 IP banned for 10 min | IP=::1 | UA=n/a | URL=
[2025-11-18T03:00:00.038Z] 🚫 Banned IP tried again: ::1 | IP=::1 | UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 | URL=/api/admin/profiles
[2025-11-18T03:01:00.056Z] 🚫 Banned IP tried again: ::1 | IP=::1 | UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 | URL=/api/admin/profiles
[2025-11-18T03:02:00.005Z] 🚫 Banned IP tried again: ::1 | IP=::1 | UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 | URL=/api/admin/profiles
[2025-11-18T03:03:00.040Z] 🚫 Banned IP tried again: ::1 | IP=::1 | UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 | URL=/api/admin/profiles
[2025-11-18T03:04:00.027Z] 🚫 Banned IP tried again: ::1 | IP=::1 | UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 | URL=/api/admin/profiles
[2025-11-18T03:05:00.125Z] ⚠️ Unauthorized admin attempt | IP=::1 | UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 | URL=/api/admin/profiles
[2025-11-18T03:06:00.100Z] ⚠️ Unauthorized admin attempt | IP=::1 | UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 | URL=/api/admin/profiles
[2025-11-18T03:06:23.192Z] ⚠️ Unauthorized admin attempt | IP=::1 | UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 | URL=/api/admin/profiles
[2025-11-18T03:06:23.195Z] 🚷 IP banned for 10 min | IP=::1 | UA=n/a | URL=
[2025-11-18T03:07:21.011Z] 🚫 Banned IP tried again: ::1 | IP=::1 | UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 | URL=/api/admin/profiles
[2025-11-18T03:08:21.003Z] 🚫 Banned IP tried again: ::1 | IP=::1 | UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 | URL=/api/admin/profiles
[2025-11-18T03:10:00.030Z] 🚫 Banned IP tried again: ::1 | IP=::1 | UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 | URL=/api/admin/profiles
[2025-11-18T03:11:00.040Z] 🚫 Banned IP tried again: ::1 | IP=::1 | UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 | URL=/api/admin/profiles
[2025-11-18T03:12:00.027Z] 🚫 Banned IP tried again: ::1 | IP=::1 | UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 | URL=/api/admin/profiles
[2025-11-18T03:13:00.160Z] 🚫 Banned IP tried again: ::1 | IP=::1 | UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 | URL=/api/admin/profiles
[2025-11-18T03:14:00.023Z] 🚫 Banned IP tried again: ::1 | IP=::1 | UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 | URL=/api/admin/profiles
[2025-11-18T03:14:49.635Z] ⚠️ Unauthorized admin attempt | IP=::1 | UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 | URL=/api/admin/profiles
[2025-11-18T03:14:56.095Z] ⚠️ Unauthorized admin attempt | IP=::1 | UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 | URL=/api/admin/profiles
[2025-11-18T03:19:36.060Z] ⚠️ Unauthorized admin attempt | IP=::1 | UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 | URL=/api/admin/profiles
[2025-11-18T03:20:36.052Z] ⚠️ Unauthorized admin attempt | IP=::1 | UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 | URL=/api/admin/profiles
[2025-11-18T03:21:36.014Z] ⚠️ Unauthorized admin attempt | IP=::1 | UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 | URL=/api/admin/profiles
[2025-11-18T03:21:36.017Z] 🚷 IP banned for 10 min | IP=::1 | UA=n/a | URL=
[2025-11-18T03:22:36.022Z] 🚫 Banned IP tried again: ::1 | IP=::1 | UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 | URL=/api/admin/profiles
[2025-11-18T03:24:00.046Z] 🚫 Banned IP tried again: ::1 | IP=::1 | UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 | URL=/api/admin/profiles
[2025-11-18T03:25:00.060Z] 🚫 Banned IP tried again: ::1 | IP=::1 | UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 | URL=/api/admin/profiles
[2025-11-18T03:26:00.028Z] 🚫 Banned IP tried again: ::1 | IP=::1 | UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 | URL=/api/admin/profiles
[2025-11-18T03:27:00.036Z] 🚫 Banned IP tried again: ::1 | IP=::1 | UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 | URL=/api/admin/profiles
[2025-11-18T03:28:00.065Z] 🚫 Banned IP tried again: ::1 | IP=::1 | UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 | URL=/api/admin/profiles
[2025-11-18T03:29:00.092Z] ⚠️ Unauthorized admin attempt | IP=::1 | UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 | URL=/api/admin/profiles
[2025-11-18T03:30:00.019Z] ⚠️ Unauthorized admin attempt | IP=::1 | UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 | URL=/api/admin/profiles
[2025-11-18T03:31:00.164Z] ⚠️ Unauthorized admin attempt | IP=::1 | UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 | URL=/api/admin/profiles
[2025-11-18T03:31:00.166Z] 🚷 IP banned for 10 min | IP=::1 | UA=n/a | URL=
[2025-11-18T03:32:00.069Z] 🚫 Banned IP tried again: ::1 | IP=::1 | UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 | URL=/api/admin/profiles
[2025-11-18T03:32:36.705Z] 🚫 Banned IP tried again: ::1 | IP=::1 | UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 | URL=/api/admin/profiles
[2025-11-18T03:33:36.007Z] 🚫 Banned IP tried again: ::1 | IP=::1 | UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 | URL=/api/admin/profiles
[2025-11-18T03:35:00.006Z] 🚫 Banned IP tried again: ::1 | IP=::1 | UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 | URL=/api/admin/profiles
[2025-11-18T08:21:47.059Z] ⚠️ Unauthorized admin attempt | IP=::1 | UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 | URL=/api/admin/profiles
[2025-11-18T08:21:47.064Z] 🚷 IP banned for 10 min | IP=::1 | UA=n/a | URL=
[2025-11-18T08:23:00.154Z] 🚫 Banned IP tried again: ::1 | IP=::1 | UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 | URL=/api/admin/profiles
[2025-11-18T08:24:00.082Z] 🚫 Banned IP tried again: ::1 | IP=::1 | UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 | URL=/api/admin/profiles
[2025-11-18T08:25:00.043Z] 🚫 Banned IP tried again: ::1 | IP=::1 | UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 | URL=/api/admin/profiles
[2025-11-18T08:26:00.074Z] 🚫 Banned IP tried again: ::1 | IP=::1 | UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 | URL=/api/admin/profiles
[2025-11-18T08:27:00.027Z] 🚫 Banned IP tried again: ::1 | IP=::1 | UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 | URL=/api/admin/profiles
[2025-11-18T08:30:12.208Z] 🚫 Banned IP tried again: ::1 | IP=::1 | UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 | URL=/api/admin/profiles
[2025-11-18T08:31:00.100Z] 🚫 Banned IP tried again: ::1 | IP=::1 | UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 | URL=/api/admin/profiles
[2025-11-18T08:32:00.023Z] ⚠️ Unauthorized admin attempt | IP=::1 | UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 | URL=/api/admin/profiles
[2025-11-18T08:32:00.029Z] 🚷 IP banned for 10 min | IP=::1 | UA=n/a | URL=
